generation,best_fitness,avg_fitness
0,1.8923222112912992,4.302850830696357
1,0.5168101562930058,3.474173276560091
2,0.5168101562930058,3.4601148269162194
3,0.29105205477619006,2.8392960957543893
4,0.29105205477619006,2.5222752952629635
5,0.29105205477619006,2.884608728388627
6,0.29105205477619006,2.8103152981797535
7,0.29105205477619006,2.102207654808974
8,0.23927832654637032,1.2951582863279048
9,0.07390371260737423,0.7289799623785221
10,0.07390371260737423,1.6786174260234865
11,0.07390371260737423,1.229793679150108
12,0.07390371260737423,1.2049403861988321
13,0.07390371260737423,0.9073541418268419
14,0.07390371260737423,0.8390060765058323
15,0.07390371260737423,0.9935649935615395
16,0.07390371260737423,0.9061973103838958
17,0.07390371260737423,1.0248681643350666
18,0.07390371260737423,0.8036461461391842
19,0.07390371260737423,0.7610232631757877
20,0.07390371260737423,1.1005788977296682
21,0.04599373117553184,0.9468846578744508
22,0.04599373117553184,0.8834064163091074
23,0.04599373117553184,0.6633675886405526
24,0.04599373117553184,0.5150461163852724
25,0.04599373117553184,0.34222970196427754
26,0.04599373117553184,0.386721659481356
27,0.04599373117553184,0.2902143856736455
28,0.04599373117553184,0.28008583441259516
29,0.04599373117553184,0.4613646181906693
30,0.04599373117553184,0.18909284451400904
31,0.04599373117553184,0.26450588862475427
32,0.04599373117553184,0.21353153723235524
33,0.04599373117553184,0.1628523073193633
34,0.04599373117553184,0.15045483848217633
35,0.04599373117553184,0.16617402805825082
36,0.04599373117553184,0.3038433066265796
37,0.04599373117553184,0.28030285927016135
38,0.04599373117553184,0.18774146568222677
39,0.04599373117553184,0.13921542354011882
40,0.04599373117553184,0.15370887657656582
41,0.04599373117553184,0.2226818771144042
42,0.04599373117553184,0.13001842557116144
43,0.04599373117553184,0.2463444600410903
44,0.04599373117553184,0.24746065363255756
45,0.04599373117553184,0.14030241138749724
46,0.04599373117553184,0.1540547571675988
47,0.04599373117553184,0.2757032822740163
48,0.04599373117553184,0.34517550126390917
49,0.04599373117553184,0.2649835611385057
50,0.04599373117553184,0.18430895896003194
51,0.04599373117553184,0.13760179759975966
52,0.04599373117553184,0.1486262431732221
53,0.04599373117553148,0.08006373848585605
54,0.04599373117553148,0.20950707727310452
55,0.04599373117553148,0.08420162436384712
56,0.04599373117553148,0.09218454280267371
57,0.04599373117553148,0.12650485851954016
58,0.04599373117553148,0.11423211852139023
59,0.04599373117553148,0.13571104089487895
60,0.04599373117553148,0.14087518039242558
61,0.04599373117553148,0.13453454943415377
62,0.04599373117553148,0.2159544659138394
63,0.04599373117553148,0.1617787590501992
64,0.04599373117553148,0.15108639509789318
65,0.04599373117553148,0.1631261812345451
66,0.04599373117553148,0.15887453079299965
67,0.04599373117553148,0.16301045396429137
68,0.04599373117553148,0.1604210456733544
69,0.04599373117552859,0.12009577522937889
70,0.04599373117552859,0.1482206436701084
71,0.04599373117552859,0.1609424923786454
72,0.04599373117552859,0.16325606290013212
73,0.04599373117552859,0.16316341945630525
74,0.04599373117552859,0.1630104539642913
75,0.04599373117552859,0.14879045632610113
76,0.04599373117552859,0.17728540463034886
77,0.04599373117552859,0.1559901086665158
78,0.04599373117552859,0.1531927301596633
79,0.04599373117552859,0.13916233623149493
80,0.04599373117552859,0.1505056416401188
81,0.04599373117552859,0.15704842453109238
82,0.04599373117552859,0.1523211031718727
83,0.04599373117552859,0.27429711952144
84,0.04599373117552859,0.16722312408783183
85,0.04599373117552859,0.16240607785183245
86,0.04599373117552859,0.15696740635092582
87,0.04599373117552859,0.15352985539679018
88,0.04599373117552859,0.22103699138676483
89,0.04599373117552859,0.18672858759989108
90,0.04599373117552859,0.1433253770885164
91,0.04599373117552859,0.14518953357870906
92,0.04599373117552859,0.1651584702643787
93,0.04599373117552859,0.25748890631963495
94,0.04599373117552859,0.16316341945630558
95,0.04599373117552859,0.1570484245310924
96,0.04599373117552859,0.2078821821631291
97,0.04599373117552859,0.16301045396429123
98,0.04599373117552859,0.16535397400642254
99,0.04599373117552859,0.1651167890260615
100,0.04599373117552859,0.17728540463034878
